teamId,city,team_name,polymarket_abv,season
1610612737,Atlanta,Hawks,ATL,2025/26
1610612738,Boston,Celtics,BOS,2025/26
1610612751,Brooklyn,Nets,BKN,2025/26
1610612766,Charlotte,Hornets,CHA,2025/26
1610612741,Chicago,Bulls,CHI,2025/26
1610612739,Cleveland,Cavaliers,CLE,2025/26
1610612742,Dallas,Mavericks,DAL,2025/26
1610612743,Denver,Nuggets,DEN,2025/26
1610612765,Detroit,Pistons,DET,2025/26
1610612744,Golden State,Warriors,GSW,2025/26
1610612745,Houston,Rockets,HOU,2025/26
1610612754,Indiana,Pacers,IND,2025/26
1610612746,Los Angeles,Clippers,LAC,2025/26
1610612747,Los Angeles,Lakers,LAL,2025/26
1610612763,Memphis,Grizzlies,MEM,2025/26
1610612748,Miami,Heat,MIA,2025/26
1610612749,Milwaukee,Bucks,MIL,2025/26
1610612750,Minnesota,Timberwolves,MIN,2025/26
1610612740,New Orleans,Pelicans,NOP,2025/26
1610612752,New York,Knicks,NYK,2025/26
1610612760,Oklahoma City,Thunder,OKC,2025/26
1610612753,Orlando,Magic,ORL,2025/26
1610612755,Philadelphia,76ers,PHI,2025/26
1610612756,Phoenix,Suns,PHX,2025/26
1610612757,Portland,Trail Blazers,POR,2025/26
1610612758,Sacramento,Kings,SAC,2025/26
1610612759,San Antonio,Spurs,SAS,2025/26
1610612761,Toronto,Raptors,TOR,2025/26
1610612762,Utah,Jazz,UTA,2025/26
1610612764,Washington,Wizards,WAS,2025/26
